fecha_despacho,mes_despacho,dia_semana,remitente,id_unidad,franja_horaria,codigo_nodo_entrada,nombre_nodo_entrada,ciudad_entrada,departamento_entrada,codigo_nodo_salida,nombre_nodo_salida,ciudad_salida,departamento_salida,desbalance_entrada,tipo_desbalance_entrada,marca_desbalance_entrada,marca_final_desbalance_entrada,desbalance_salida,tipo_desbalance_salida,marca_desbalance_salida,marca_final_desbalance_salida,duracion_transito,tipo_tramo,desbalance_operacional,desbalance_clima,desbalance_sistema,desbalance_integridad,desbalance_aguas_arriba,otro_desbalance,marca_desbalance_operacional,marca_desbalance_clima,marca_desbalance_sistema,marca_desbalance_integridad,marca_desbalance_aguas_arriba,marca_otro_desbalance,fabricante,modelo,antiguedad_unidad,interrumpido,reenrutado
2023-01-27,1,6,Efigas,CE7026,Madrugada,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,1,Bajo <15,true,false,39,Medio >15,true,true,78,Ramal <100Km,7,7,7,3,6,39,1,1,1,1,1,0,GE Oil & Gas,Taurus 60,7,false,false
2023-10-01,10,1,Gases del Caribe,CE8324,Madrugada,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,CTG,Estación Cartagena,"Cartagena, BOL",BOL,34,Medio >15,true,true,87,Alto >60,true,true,191,Troncal >300Km,39,25,2,10,5,87,1,1,1,1,1,0,Solar Turbines,Centaur 40,24,false,false
2023-06-12,6,2,Gases de la Guajira,CE6863,Madrugada,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MAM,Industrial Mamonal,"Cartagena, BOL",BOL,12,Bajo <15,true,false,72,Alto >60,true,true,351,Troncal >300Km,22,2,31,28,0,,1,1,1,1,0,1,GE Oil & Gas,Centaur 40,12,false,false
2023-04-12,4,4,Gases del Caribe,CE6788,Madrugada,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,SIN,Estación Sincelejo,"Sincelejo, SUC",SUC,-14,Sin desbalance en entrada,false,false,55,Medio >15,true,true,342,Regional 100-300Km,7,3,29,1,1,55,1,1,1,0,0,0,Caterpillar,Mars 100,20,false,false
2023-08-12,8,7,Gases del Caribe,CE0375,Noche,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,38,Medio >15,true,true,100,Alto >60,true,true,217,,7,22,33,15,1,100,1,1,1,1,0,0,Siemens,Centaur 40,3,false,false
2023-01-06,1,6,Gases de la Guajira,CE5040,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,25,Medio >15,true,true,66,Alto >60,true,true,484,Ramal <100Km,11,2,20,13,15,66,1,1,1,1,1,0,Siemens,Taurus 60,10,false,false
2023-10-29,10,1,Efigas,CE9219,Madrugada,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,RIO,Estación Riohacha,"Riohacha, LAG",LAG,-14,Sin desbalance en entrada,false,false,71,Alto >60,true,true,434,Troncal >300Km,20,0,0,9,24,71,1,0,0,1,1,0,Solar Turbines,C15,10,false,false
2023-05-06,5,7,Gases del Caribe,CE3794,Noche,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,VDP,Estación Valledupar,"Valledupar, CES",CES,40,Medio >15,true,true,12,Bajo <15,true,false,447,,1,0,4,0,6,12,0,0,1,0,1,0,GE Oil & Gas,Centaur 40,6,false,false
2023-08-08,8,3,Gases del Caribe,CE8707,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,11,Bajo <15,true,false,47,Medio >15,true,true,362,Troncal >300Km,1,1,30,17,2,,0,0,1,1,1,1,Caterpillar,Mars 100,10,false,false
2023-05-24,5,4,Gases del Caribe,CE7833,Madrugada,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,MTR,Estación Montería,"Montería, COR",COR,58,Medio >15,true,true,104,Alto >60,true,true,429,Regional 100-300Km,2,24,4,25,22,104,1,1,1,1,1,0,GE Oil & Gas,Centaur 40,24,false,false
2023-05-28,5,1,Efigas,CE9290,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,4,Bajo <15,true,false,131,Alto >60,true,true,153,,19,32,20,4,19,131,1,1,1,1,1,0,GE Oil & Gas,Mars 100,0,false,false
2023-03-03,3,6,Surtigas,CE7182,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,RIO,Estación Riohacha,"Riohacha, LAG",LAG,30,Medio >15,true,true,39,Medio >15,true,true,180,Regional 100-300Km,10,15,10,7,6,,1,1,1,1,1,1,Siemens,Taurus 60,19,false,false
2023-10-18,10,4,Efigas,CE0626,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,MTR,Estación Montería,"Montería, COR",COR,30,Medio >15,true,true,35,Medio >15,true,true,583,Regional 100-300Km,0,5,10,19,14,,0,1,1,1,1,1,Siemens,C15,24,false,false
2023-10-16,10,2,Gases del Caribe,CE7068,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,63,Alto >60,true,true,71,Alto >60,true,true,423,,0,34,29,25,3,,0,1,1,1,1,1,GE Oil & Gas,Centaur 40,20,false,false
2023-11-10,11,6,Gases del Caribe,CE8923,Tarde,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MTR,Estación Montería,"Montería, COR",COR,44,Medio >15,true,true,42,Medio >15,true,true,544,Regional 100-300Km,1,1,17,12,4,42,0,0,1,1,1,0,GE Oil & Gas,Mars 100,12,false,false
2023-05-23,5,3,Gasnacer,CE9742,Tarde,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,RIO,Estación Riohacha,"Riohacha, LAG",LAG,33,Medio >15,true,true,30,Medio >15,true,true,549,Troncal >300Km,5,7,0,5,4,30,1,1,0,1,1,0,GE Oil & Gas,Centaur 40,0,false,false
2023-09-06,9,4,Surtigas,CE3150,Tarde,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,21,Medio >15,true,true,30,Medio >15,true,true,543,Troncal >300Km,17,7,2,2,0,30,1,1,1,1,0,0,Siemens,Taurus 60,5,false,false
2023-08-20,8,1,Efigas,CE6771,Tarde,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,63,Alto >60,true,true,72,Alto >60,true,true,386,,0,4,19,7,26,72,0,1,1,1,1,0,Siemens,C15,13,false,false
2023-02-15,2,4,Gasnacer,CE9596,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,CTG,Estación Cartagena,"Cartagena, BOL",BOL,62,Alto >60,true,true,45,Medio >15,true,true,503,Troncal >300Km,25,3,4,3,6,45,1,1,1,1,1,0,Caterpillar,Taurus 60,22,false,false
2023-02-07,2,3,Gasnacer,CE1999,Mañana,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,SIN,Estación Sincelejo,"Sincelejo, SUC",SUC,-13,Sin desbalance en entrada,false,false,25,Medio >15,true,true,541,Troncal >300Km,4,5,11,1,6,,1,1,1,0,1,1,Caterpillar,Mars 100,4,false,false
2023-01-08,1,1,Gasnacer,CE7310,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,MTR,Estación Montería,"Montería, COR",COR,-11,Sin desbalance en entrada,false,false,35,Medio >15,true,true,230,Regional 100-300Km,8,2,9,7,4,35,1,1,1,1,1,0,Solar Turbines,Centaur 40,15,false,false
2023-07-27,7,5,Gasnacer,CE3483,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,42,Medio >15,true,true,64,Alto >60,true,true,207,Ramal <100Km,29,4,0,4,12,64,1,1,0,1,1,0,Siemens,Mars 100,19,false,false
2023-06-25,6,1,Surtigas,CE6700,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,39,Medio >15,true,true,36,Medio >15,true,true,328,Troncal >300Km,0,1,17,13,0,36,0,0,1,1,0,0,GE Oil & Gas,Centaur 40,7,false,false
2023-11-11,11,7,Efigas,CE8850,Madrugada,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,CTG,Estación Cartagena,"Cartagena, BOL",BOL,19,Medio >15,true,true,45,Medio >15,true,true,198,Regional 100-300Km,2,12,19,1,0,45,1,1,1,0,0,0,GE Oil & Gas,C15,3,false,false
2023-02-04,2,7,Surtigas,CE4934,Madrugada,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,VDP,Estación Valledupar,"Valledupar, CES",CES,54,Medio >15,true,true,20,Medio >15,true,true,349,Troncal >300Km,1,2,12,12,0,,0,1,1,1,0,1,GE Oil & Gas,Centaur 40,9,false,false
2023-02-11,2,7,Gases del Caribe,CE1522,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MAM,Industrial Mamonal,"Cartagena, BOL",BOL,3,Bajo <15,true,false,47,Medio >15,true,true,351,Ramal <100Km,9,1,3,13,6,47,1,0,1,1,1,0,Solar Turbines,Taurus 60,8,false,false
2023-06-25,6,1,Gases del Caribe,CE0082,Madrugada,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,1,Bajo <15,true,false,7,Bajo <15,true,false,592,Regional 100-300Km,0,0,1,0,4,7,0,0,0,0,1,0,GE Oil & Gas,Taurus 60,27,false,false
2023-03-20,3,2,Gasnacer,CE7895,Madrugada,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,RIO,Estación Riohacha,"Riohacha, LAG",LAG,34,Medio >15,true,true,35,Medio >15,true,true,606,Regional 100-300Km,12,9,4,1,21,,1,1,1,0,1,1,Solar Turbines,Centaur 40,11,false,false
2023-01-18,1,4,Gasnacer,CE8319,Noche,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,SIN,Estación Sincelejo,"Sincelejo, SUC",SUC,50,Medio >15,true,true,57,Medio >15,true,true,95,Ramal <100Km,34,2,22,1,12,,1,1,1,0,1,1,Caterpillar,Mars 100,28,false,false
2023-08-26,8,7,Gases de la Guajira,CE4127,Tarde,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,MAM,Industrial Mamonal,"Cartagena, BOL",BOL,48,Medio >15,true,true,25,Medio >15,true,true,320,Troncal >300Km,2,2,0,4,14,25,1,1,0,1,1,0,Solar Turbines,Centaur 40,21,false,false
2023-02-15,2,4,Gases de la Guajira,CE4610,Madrugada,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,RIO,Estación Riohacha,"Riohacha, LAG",LAG,61,Alto >60,true,true,48,Medio >15,true,true,105,Troncal >300Km,5,9,3,31,2,,1,1,1,1,1,1,GE Oil & Gas,Mars 100,28,false,false
2023-01-02,1,2,Gases de la Guajira,CE2244,Noche,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,VDP,Estación Valledupar,"Valledupar, CES",CES,-1,Sin desbalance en entrada,false,false,45,Medio >15,true,true,176,Ramal <100Km,0,5,0,30,8,45,0,1,0,1,1,0,Solar Turbines,Taurus 60,6,false,false
2023-06-18,6,1,Efigas,CE3544,Madrugada,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,CTG,Estación Cartagena,"Cartagena, BOL",BOL,62,Alto >60,true,true,61,Alto >60,true,true,372,Ramal <100Km,11,21,4,12,8,61,1,1,1,1,1,0,GE Oil & Gas,Centaur 40,17,false,false
2023-07-06,7,5,Gases del Caribe,CE6240,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,MTR,Estación Montería,"Montería, COR",COR,18,Medio >15,true,true,48,Medio >15,true,true,274,Regional 100-300Km,7,1,19,0,13,48,1,0,1,0,1,0,Solar Turbines,Mars 100,4,false,false
2023-08-19,8,7,Surtigas,CE0052,Tarde,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,63,Alto >60,true,true,15,Bajo <15,true,true,396,Regional 100-300Km,2,5,9,0,0,,1,1,1,0,0,1,GE Oil & Gas,Mars 100,26,false,false
2023-10-07,10,7,Gases del Caribe,CE3303,Noche,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,VDP,Estación Valledupar,"Valledupar, CES",CES,4,Bajo <15,true,false,100,Alto >60,true,true,392,Troncal >300Km,7,33,13,11,7,100,1,1,1,1,1,0,Caterpillar,Centaur 40,18,false,false
2023-04-24,4,2,Gases de la Guajira,CE3882,Mañana,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MTR,Estación Montería,"Montería, COR",COR,-5,Sin desbalance en entrada,false,false,100,Alto >60,true,true,209,,26,24,2,24,22,100,1,1,1,1,1,0,Caterpillar,Mars 100,1,false,false
2023-08-24,8,5,Efigas,CE3211,Tarde,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,CTG,Estación Cartagena,"Cartagena, BOL",BOL,38,Medio >15,true,true,28,Medio >15,true,true,648,Regional 100-300Km,4,3,2,2,15,28,1,1,1,1,1,0,Siemens,C15,27,false,false
2023-10-19,10,5,Surtigas,CE0997,Madrugada,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,VDP,Estación Valledupar,"Valledupar, CES",CES,35,Medio >15,true,true,68,Alto >60,true,true,612,,12,11,26,8,2,68,1,1,1,1,1,0,Solar Turbines,Mars 100,3,false,false
2023-11-22,11,4,Surtigas,CE3962,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,BAQ,Estación Barranquilla,"Barranquilla, ATL",ATL,6,Bajo <15,true,false,34,Medio >15,true,true,332,,15,11,4,3,4,,1,1,1,1,1,1,Caterpillar,Centaur 40,20,false,false
2023-11-24,11,6,Efigas,CE1235,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,MTR,Estación Montería,"Montería, COR",COR,61,Alto >60,true,true,63,Alto >60,true,true,61,,13,1,0,15,15,63,1,0,0,1,1,0,GE Oil & Gas,Mars 100,24,false,false
2023-09-22,9,6,Surtigas,CE7899,Mañana,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,17,Medio >15,true,true,61,Alto >60,true,true,618,Regional 100-300Km,7,8,6,5,24,61,1,1,1,1,1,0,Caterpillar,Taurus 60,5,false,false
2023-09-18,9,2,Surtigas,CE0173,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MTR,Estación Montería,"Montería, COR",COR,-3,Sin desbalance en entrada,false,false,51,Medio >15,true,true,410,Troncal >300Km,10,6,3,8,16,51,1,1,1,1,1,0,Siemens,Taurus 60,27,false,false
2023-07-06,7,5,Efigas,CE7963,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,24,Medio >15,true,true,65,Alto >60,true,true,98,Troncal >300Km,17,20,16,21,6,,1,1,1,1,1,1,Siemens,Mars 100,25,false,false
2023-05-29,5,2,Efigas,CE1000,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,CTG,Estación Cartagena,"Cartagena, BOL",BOL,-15,Sin desbalance en entrada,false,false,35,Medio >15,true,true,560,Ramal <100Km,3,6,2,0,27,,1,1,1,0,1,1,Siemens,Mars 100,14,false,false
2023-02-13,2,2,Gasnacer,CE8051,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,CTG,Estación Cartagena,"Cartagena, BOL",BOL,-8,Sin desbalance en entrada,false,false,84,Alto >60,true,true,325,,17,29,11,5,20,84,1,1,1,1,1,0,Caterpillar,Taurus 60,20,false,false
2023-04-10,4,2,Gases de la Guajira,CE9502,Noche,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,RIO,Estación Riohacha,"Riohacha, LAG",LAG,64,Alto >60,true,true,27,Medio >15,true,true,592,,2,0,16,11,4,,1,0,1,1,1,1,Caterpillar,C15,12,false,false
2023-11-18,11,7,Gasnacer,CE0910,Tarde,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MAM,Industrial Mamonal,"Cartagena, BOL",BOL,12,Bajo <15,true,false,29,Medio >15,true,true,149,Troncal >300Km,8,5,0,2,7,29,1,1,0,1,1,0,GE Oil & Gas,Centaur 40,6,false,false
2023-08-27,8,1,Gases de la Guajira,CE7208,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,CTG,Estación Cartagena,"Cartagena, BOL",BOL,56,Medio >15,true,true,54,Medio >15,true,true,205,Ramal <100Km,15,2,5,3,13,54,1,1,1,1,1,0,GE Oil & Gas,Mars 100,11,false,false
2023-08-04,8,6,Gasnacer,CE0192,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,-14,Sin desbalance en entrada,false,false,26,Medio >15,true,true,565,,7,1,9,1,16,,1,0,1,0,1,1,Caterpillar,Centaur 40,12,false,false
2023-04-02,4,1,Gases del Caribe,CE1873,Mañana,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,SIN,Estación Sincelejo,"Sincelejo, SUC",SUC,41,Medio >15,true,true,50,Medio >15,true,true,375,Ramal <100Km,21,16,25,7,1,,1,1,1,1,0,1,Caterpillar,Centaur 40,16,false,false
2023-07-27,7,5,Gasnacer,CE4296,Tarde,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,VDP,Estación Valledupar,"Valledupar, CES",CES,14,Bajo <15,true,false,37,Medio >15,true,true,130,Regional 100-300Km,0,22,2,3,1,37,0,1,1,1,0,0,GE Oil & Gas,C15,28,false,false
2023-05-27,5,7,Gases del Caribe,CE0185,Madrugada,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,MTR,Estación Montería,"Montería, COR",COR,25,Medio >15,true,true,9,Bajo <15,true,false,307,Regional 100-300Km,1,4,2,3,1,,0,1,1,1,0,1,GE Oil & Gas,Mars 100,5,false,false
2023-11-25,11,7,Surtigas,CE0856,Mañana,JOBO,Jobo (Entrada Córdoba),"Sahagún, COR",COR,STM,Estación Santa Marta,"Santa Marta, MAG",MAG,-13,Sin desbalance en entrada,false,false,28,Medio >15,true,true,179,Regional 100-300Km,17,5,7,1,1,,1,1,1,0,0,1,Caterpillar,C15,5,false,false
2023-03-04,3,7,Gases del Caribe,CE7843,Mañana,BALLE,Ballena (Entrada Guajira),"Manaure, LAG",LAG,CTG,Estación Cartagena,"Cartagena, BOL",BOL,-12,Sin desbalance en entrada,false,false,28,Medio >15,true,true,502,Ramal <100Km,6,4,0,4,9,28,1,1,0,1,1,0,Solar Turbines,Centaur 40,19,false,false
