fecha,temp_prom,temp_min,temp_max,precipitacion,humedad,dir_viento,vel_viento,presion,id_nodo
2023-04-21,30.7,26.8,34.9,16.5,64.6,85.0,11.0,1007.3,BALLE
2023-04-22,31.8,26.3,35.6,1.9,67.2,279.0,6.8,1004.2,JOBO
2023-04-23,30.4,25.6,34.9,11.5,81.0,7.0,11.3,1008.6,BAQ
2023-04-24,30.2,26.1,35.7,0.8,65.5,352.0,19.3,1010.5,CTG
2023-04-25,31.1,26.7,34.5,4.2,61.1,2.0,22.6,1008.8,STM
2023-04-26,32.1,26.0,35.6,6.6,82.2,43.0,14.0,1009.4,SIN
2023-04-27,30.3,24.8,36.3,7.6,63.6,179.0,19.6,1009.2,MTR
2023-04-28,31.2,25.9,36.7,23.1,79.7,175.0,14.7,1010.5,VDP
2023-04-29,29.6,26.6,37.1,4.5,63.9,81.0,22.5,1010.1,RIO
2023-04-30,29.5,25.8,35.8,7.7,70.4,60.0,9.2,1004.0,MAM
2023-05-01,29.4,25.9,35.2,1.6,78.4,293.0,22.0,1010.1,BALLE
2023-05-02,31.3,25.4,35.3,8.8,66.9,203.0,11.1,1007.3,JOBO
2023-05-03,30.2,25.7,34.5,4.8,69.9,37.0,11.2,1005.2,BAQ
2023-05-04,29.7,25.1,36.8,26.8,80.5,250.0,12.0,1011.9,CTG
2023-05-05,29.1,26.3,36.9,8.4,70.2,174.0,10.3,1010.4,STM
2023-05-06,30.6,24.9,34.5,2.2,80.6,311.0,22.5,1008.2,SIN
2023-05-07,31.9,25.0,36.9,0.8,59.0,138.0,6.7,1010.6,MTR
2023-05-08,31.0,25.3,36.2,11.2,79.7,270.0,6.3,1010.0,VDP
2023-05-09,29.3,26.1,36.3,5.1,66.3,117.0,20.4,1007.7,RIO
2023-05-10,31.8,26.1,34.2,37.4,82.4,32.0,14.1,1007.2,MAM
2023-05-11,29.6,26.2,35.0,2.0,71.0,225.0,18.3,1009.0,BALLE
2023-05-12,29.2,25.6,36.3,13.8,79.6,93.0,13.8,1004.1,JOBO
2023-05-13,29.6,25.7,36.8,7.1,58.1,281.0,18.8,1010.0,BAQ
2023-05-14,28.8,26.4,34.6,4.8,66.6,47.0,22.8,1006.0,CTG
2023-05-15,31.3,24.6,35.4,24.7,73.3,66.0,5.2,1009.2,STM
2023-05-16,30.2,26.4,35.4,12.8,66.9,67.0,10.2,1006.2,SIN
2023-05-17,29.7,25.6,34.3,18.1,65.5,187.0,16.1,1009.2,MTR
2023-05-18,28.8,25.7,34.2,8.6,81.2,242.0,6.2,1006.9,VDP
2023-05-19,30.2,24.9,36.2,8.9,71.4,50.0,14.3,1011.4,RIO
2023-05-20,29.4,26.0,34.6,2.6,61.4,357.0,21.4,1007.4,MAM
2023-05-21,31.4,24.6,34.2,3.5,68.4,22.0,12.0,1010.6,BALLE
2023-05-22,30.9,25.5,34.4,18.2,60.8,15.0,18.9,1010.4,JOBO
2023-05-23,30.1,24.7,35.0,1.4,74.6,290.0,10.2,1011.7,BAQ
2023-05-24,28.8,24.9,33.8,7.9,57.5,38.0,20.2,1007.9,CTG
2023-05-25,29.6,25.4,35.6,34.6,60.6,297.0,13.5,1004.3,STM
2023-05-26,28.8,25.6,36.1,2.5,79.8,24.0,17.3,1010.2,SIN
2023-05-27,28.8,25.1,35.2,19.8,70.2,253.0,12.4,1007.7,MTR
2023-05-28,30.7,25.2,34.5,2.7,71.8,150.0,19.4,1004.0,VDP
2023-05-29,29.3,25.2,36.1,23.5,75.2,181.0,14.3,1011.8,RIO
2023-05-30,28.9,26.1,33.8,19.5,77.3,4.0,17.3,1011.9,MAM
2023-05-31,29.0,25.6,34.0,2.2,78.9,176.0,5.9,1011.1,BALLE
2023-06-01,29.2,24.1,33.4,22.7,65.5,300.0,12.6,1006.2,JOBO
2023-06-02,30.4,24.3,35.0,3.9,75.7,345.0,7.6,1007.9,BAQ
2023-06-03,29.9,25.7,35.1,0.1,73.3,6.0,20.6,1005.5,CTG
2023-06-04,30.2,25.9,34.6,0.0,76.5,91.0,9.4,1006.7,STM
2023-06-05,30.4,25.8,35.7,17.8,59.1,196.0,7.8,1011.6,SIN
2023-06-06,28.4,25.0,35.0,25.4,79.2,152.0,25.0,1009.2,MTR
2023-06-07,29.4,25.5,34.1,0.4,82.4,164.0,12.7,1009.6,VDP
2023-06-08,30.1,25.4,35.3,2.5,75.9,19.0,23.1,1006.2,RIO
2023-06-09,30.6,25.0,34.0,9.6,79.5,227.0,23.4,1008.3,MAM
2023-06-10,28.4,24.6,32.9,0.1,75.3,295.0,17.1,1005.3,BALLE
2023-06-11,29.5,24.0,32.8,28.4,68.3,310.0,8.1,1008.4,JOBO
2023-06-12,28.3,25.6,33.9,0.0,59.0,98.0,14.9,1010.7,BAQ
2023-06-13,27.6,25.3,34.8,5.5,66.7,63.0,6.2,1009.3,CTG
2023-06-14,28.9,24.7,33.8,25.9,76.3,275.0,23.8,1009.9,STM
2023-06-15,27.7,23.7,33.2,19.4,73.1,7.0,12.9,1005.8,SIN
2023-06-16,27.5,24.5,33.3,2.2,74.3,197.0,17.0,1009.8,MTR
2023-06-17,29.5,23.6,33.7,5.6,63.0,158.0,15.3,1009.7,VDP
2023-06-18,28.4,24.9,34.9,18.5,70.3,154.0,5.8,1004.8,RIO
2023-06-19,27.3,24.6,34.3,5.4,57.8,297.0,16.0,1011.5,MAM
2023-06-20,27.3,25.3,32.4,1.0,75.9,38.0,10.7,1004.3,BALLE
2023-06-21,27.9,25.0,33.0,28.2,65.8,329.0,8.3,1005.9,JOBO
2023-06-22,28.8,24.7,34.6,0.0,78.3,167.0,17.7,1011.8,BAQ
2023-06-23,29.9,25.2,33.3,4.6,82.4,133.0,19.6,1008.3,CTG
2023-06-24,28.2,23.7,33.6,2.2,82.2,292.0,16.3,1011.7,STM
2023-06-25,29.1,24.5,33.3,18.2,58.0,64.0,18.2,1009.2,SIN
2023-06-26,27.5,24.2,32.6,4.8,74.2,110.0,5.5,1004.8,MTR
2023-06-27,27.7,24.8,33.5,4.9,80.5,350.0,14.1,1008.0,VDP
2023-06-28,27.9,24.9,33.7,15.1,69.6,341.0,13.1,1010.3,RIO
2023-06-29,28.8,23.3,32.0,9.2,62.5,108.0,14.1,1010.3,MAM
2023-06-30,28.0,24.1,31.7,1.9,63.3,217.0,9.3,1004.8,BALLE
2023-07-01,26.9,24.4,32.9,21.8,71.7,338.0,16.9,1007.6,JOBO
2023-07-02,26.7,24.7,31.7,21.1,60.4,106.0,16.7,1008.1,BAQ
2023-07-03,28.5,24.3,33.8,12.8,76.8,334.0,24.3,1010.7,CTG
2023-07-04,28.0,23.0,31.7,6.6,81.3,33.0,14.2,1006.7,STM
2023-07-05,27.3,24.0,31.9,3.4,65.8,230.0,7.0,1004.0,SIN
2023-07-06,26.9,24.3,33.3,5.9,66.7,247.0,13.8,1010.6,MTR
2023-07-07,27.7,23.6,32.0,6.3,58.3,246.0,15.6,1010.5,VDP
2023-07-08,29.1,23.7,34.0,15.1,58.5,325.0,11.6,1004.1,RIO
2023-07-09,27.3,23.0,31.9,6.8,64.0,205.0,7.2,1004.6,MAM
2023-07-10,28.0,22.7,31.2,7.8,78.5,348.0,9.7,1005.1,BALLE
2023-07-11,29.0,22.8,31.8,2.5,73.0,259.0,16.2,1007.9,JOBO
2023-07-12,26.6,23.7,32.3,12.4,58.4,121.0,5.3,1006.9,BAQ
2023-07-13,27.4,23.5,31.6,34.0,61.4,146.0,6.8,1004.5,CTG
2023-07-14,26.5,24.4,32.9,11.0,74.2,354.0,21.2,1004.9,STM
2023-07-15,27.6,24.4,33.0,3.9,64.5,131.0,11.7,1006.2,SIN
2023-07-16,27.3,23.8,30.8,17.6,65.6,65.0,22.6,1009.7,MTR
2023-07-17,27.8,22.6,32.6,13.8,75.4,225.0,5.4,1006.7,VDP
2023-07-18,28.1,24.3,32.0,0.4,62.8,102.0,14.0,1006.2,RIO
2023-07-19,25.7,22.9,30.8,33.2,65.0,208.0,7.3,1008.8,MAM
2023-07-20,28.4,23.7,33.5,3.8,71.1,288.0,15.2,1009.0,BALLE
2023-07-21,27.0,22.5,31.3,1.7,70.8,106.0,17.8,1006.7,JOBO
2023-07-22,25.8,23.7,32.9,0.6,75.1,10.0,12.3,1010.5,BAQ
2023-07-23,27.1,22.9,31.9,13.0,70.3,135.0,10.3,1010.9,CTG
2023-07-24,26.3,23.4,32.8,3.7,63.5,233.0,24.8,1006.6,STM
2023-07-25,26.7,23.1,31.1,17.8,80.5,73.0,10.1,1008.4,SIN
2023-07-26,25.6,22.2,31.2,10.4,63.7,117.0,18.6,1005.2,MTR
2023-07-27,27.7,23.8,30.9,16.6,71.0,323.0,11.4,1006.3,VDP
2023-07-28,25.4,22.3,30.9,10.4,61.0,45.0,7.0,1008.4,RIO
2023-07-29,26.5,23.8,32.0,0.5,59.2,234.0,9.8,1008.2,MAM
2023-07-30,27.0,23.3,32.3,5.1,65.9,44.0,8.3,1004.6,BALLE
2023-07-31,26.8,22.3,30.9,0.9,65.2,111.0,10.0,1004.8,JOBO
2023-08-01,27.0,22.5,30.1,13.2,80.3,201.0,23.8,1004.1,BAQ
2023-08-02,26.5,23.2,30.1,26.0,70.9,1.0,24.6,1008.1,CTG
2023-08-03,27.8,21.9,31.9,31.7,64.1,236.0,20.6,1005.4,STM
2023-08-04,27.2,23.6,31.9,2.8,79.7,142.0,21.6,1004.1,SIN
2023-08-05,27.4,23.6,29.9,30.3,78.9,22.0,16.6,1005.0,MTR
2023-08-06,25.9,21.9,32.3,2.7,80.9,58.0,12.7,1007.6,VDP
2023-08-07,25.9,23.5,31.3,10.2,64.7,277.0,7.6,1009.1,RIO
2023-08-08,25.4,22.1,31.1,12.8,67.9,161.0,20.5,1004.2,MAM
2023-08-09,25.4,22.4,32.5,12.8,79.5,40.0,12.9,1009.5,BALLE
2023-08-10,25.0,22.3,31.9,3.5,74.5,212.0,21.6,1005.7,JOBO
2023-08-11,26.8,22.8,32.0,6.3,58.3,99.0,11.0,1008.4,BAQ
2023-08-12,25.3,22.1,31.4,26.1,66.1,201.0,5.2,1005.1,CTG
2023-08-13,26.8,21.9,31.6,5.9,69.5,18.0,18.4,1009.4,STM
2023-08-14,25.0,23.0,31.1,5.7,59.7,142.0,5.6,1007.8,SIN
2023-08-15,26.4,21.8,30.1,16.9,74.8,141.0,5.1,1009.8,MTR
2023-08-16,27.0,22.1,32.1,0.4,72.1,340.0,14.2,1007.3,VDP
2023-08-17,24.7,22.9,31.0,0.3,61.5,99.0,19.5,1011.1,RIO
2023-08-18,27.2,23.3,29.5,5.0,68.4,42.0,18.7,1009.3,MAM
2023-08-19,26.5,23.5,29.5,9.9,73.8,179.0,6.8,1005.5,BALLE
2023-08-20,24.9,22.6,29.5,8.2,60.1,352.0,18.9,1007.4,JOBO
2023-08-21,24.4,21.8,29.6,3.9,64.9,115.0,14.0,1004.5,BAQ
2023-08-22,25.6,23.4,29.6,3.9,61.7,21.0,11.2,1006.2,CTG
2023-08-23,25.7,22.6,29.4,16.6,58.2,288.0,7.1,1005.2,STM
2023-08-24,27.0,22.6,31.5,5.2,77.4,117.0,5.7,1004.9,SIN
2023-08-25,25.9,22.5,31.3,0.4,76.5,355.0,15.0,1006.5,MTR
2023-08-26,26.9,21.8,31.3,25.7,70.6,325.0,18.4,1005.9,VDP
2023-08-27,26.4,22.7,31.0,4.5,69.7,11.0,12.1,1010.1,RIO
2023-08-28,24.6,21.6,31.8,24.7,81.0,292.0,18.8,1005.4,MAM
2023-08-29,25.5,22.4,29.4,2.6,69.2,11.0,15.7,1004.4,BALLE
2023-08-30,25.2,21.5,31.3,4.1,66.9,2.0,11.0,1006.7,JOBO
2023-08-31,24.3,21.3,30.0,3.1,76.0,1.0,8.2,1010.4,BAQ
2023-09-01,24.3,22.5,30.8,5.5,69.9,271.0,16.3,1007.4,CTG
2023-09-02,25.9,22.6,30.3,18.9,79.9,294.0,10.7,1006.6,STM
2023-09-03,25.4,22.4,29.1,2.5,59.8,112.0,19.5,1008.6,SIN
2023-09-04,25.8,23.1,29.9,37.5,63.1,271.0,9.2,1009.6,MTR
2023-09-05,25.9,22.0,30.5,1.3,66.1,234.0,14.5,1008.9,VDP
2023-09-06,26.3,22.2,31.0,26.0,60.3,9.0,18.3,1008.8,RIO
2023-09-07,26.2,22.2,29.0,14.9,66.9,52.0,10.9,1004.4,MAM
2023-09-08,25.5,22.1,29.3,10.7,63.9,8.0,9.5,1004.9,BALLE
2023-09-09,26.2,21.5,31.7,1.4,72.4,134.0,9.7,1010.4,JOBO
2023-09-10,24.4,22.6,30.9,6.9,58.8,120.0,16.5,1011.6,BAQ
2023-09-11,25.1,22.1,31.1,3.7,78.0,94.0,18.6,1006.1,CTG
2023-09-12,25.6,21.2,31.4,14.0,69.1,356.0,8.5,1011.3,STM
2023-09-13,25.2,21.1,29.0,6.3,63.1,7.0,5.1,1007.1,SIN
2023-09-14,24.2,22.0,30.3,9.4,73.5,226.0,20.9,1010.7,MTR
2023-09-15,25.3,22.9,31.6,1.5,74.8,351.0,12.2,1007.6,VDP
2023-09-16,25.6,22.3,30.0,1.7,68.6,354.0,19.0,1006.5,RIO
2023-09-17,25.0,22.7,29.7,5.0,64.3,20.0,13.8,1006.2,MAM
2023-09-18,24.4,21.7,30.5,5.3,66.2,209.0,17.4,1008.7,BALLE
2023-09-19,25.3,21.9,29.6,24.3,59.6,297.0,22.8,1011.4,JOBO
2023-09-20,25.4,22.6,30.3,3.6,67.8,54.0,6.8,1007.3,BAQ
2023-09-21,25.2,21.3,31.0,4.7,81.3,106.0,20.3,1008.6,CTG
2023-09-22,26.0,21.6,30.3,8.9,78.2,360.0,9.6,1008.6,STM
2023-09-23,23.7,22.7,28.5,2.2,68.6,305.0,13.7,1005.8,SIN
2023-09-24,25.3,21.5,29.5,1.3,66.8,94.0,10.6,1011.7,MTR
2023-09-25,25.0,22.8,29.6,0.8,61.5,122.0,13.0,1005.1,VDP
2023-09-26,24.4,22.4,30.3,4.8,72.5,37.0,24.0,1011.4,RIO
2023-09-27,25.6,22.0,28.8,3.1,62.0,252.0,20.0,1004.4,MAM
2023-09-28,24.4,21.4,28.5,23.0,79.7,6.0,19.0,1008.5,BALLE
2023-09-29,25.4,21.2,28.5,3.5,74.9,217.0,24.8,1009.8,JOBO
2023-09-30,25.3,22.8,30.1,3.1,59.3,118.0,14.9,1010.9,BAQ
2023-10-01,24.8,22.7,31.5,12.8,77.2,342.0,9.2,1010.6,CTG
2023-10-02,24.2,22.3,29.5,32.2,80.5,235.0,13.0,1006.6,STM
2023-10-03,24.1,21.0,30.5,30.9,66.3,289.0,9.0,1010.7,SIN
2023-10-04,25.9,21.4,29.5,19.2,65.6,348.0,21.9,1005.4,MTR
2023-10-05,26.2,22.7,29.6,1.0,66.1,191.0,17.6,1009.5,VDP
2023-10-06,26.4,21.7,29.2,10.3,72.2,76.0,11.2,1009.9,RIO
2023-10-07,25.2,22.8,30.1,32.1,67.5,109.0,11.3,1011.9,MAM
2023-10-08,25.1,22.2,28.9,34.8,63.3,33.0,14.8,1005.5,BALLE
2023-10-09,24.7,21.4,30.1,3.5,77.9,328.0,11.3,1009.6,JOBO
2023-10-10,23.9,22.4,29.9,3.1,82.3,325.0,8.0,1009.4,BAQ
2023-10-11,24.2,22.8,28.9,13.0,58.3,264.0,24.3,1004.3,CTG
2023-10-12,25.9,22.1,29.5,22.1,66.7,352.0,18.5,1008.7,STM
2023-10-13,24.1,22.2,28.7,3.7,81.3,75.0,7.0,1011.4,SIN
2023-10-14,25.0,21.3,30.9,2.3,59.1,106.0,7.4,1006.1,MTR
2023-10-15,23.7,22.5,29.7,6.9,80.7,298.0,23.5,1010.7,VDP
2023-10-16,25.8,21.6,29.0,5.0,77.3,278.0,19.3,1007.4,RIO
2023-10-17,25.7,22.2,31.1,32.4,64.2,14.0,8.9,1007.2,MAM
2023-10-18,25.2,23.0,31.1,21.9,79.5,335.0,8.3,1009.0,BALLE
2023-10-19,26.0,22.9,30.3,1.0,71.9,262.0,18.0,1008.9,JOBO
2023-10-20,26.3,22.9,29.5,11.1,57.7,342.0,19.9,1008.0,BAQ
2023-10-21,25.5,22.4,30.2,0.6,81.7,185.0,9.5,1006.7,CTG
2023-10-22,26.2,21.6,29.8,8.1,61.5,181.0,15.2,1010.2,STM
2023-10-23,25.9,22.7,31.0,2.3,76.0,56.0,24.1,1008.0,SIN
2023-10-24,25.6,21.6,29.1,13.1,78.8,107.0,9.3,1007.7,MTR
2023-10-25,26.7,23.0,29.9,3.8,72.5,191.0,23.6,1011.3,VDP
2023-10-26,26.2,22.8,29.3,6.0,75.2,68.0,9.9,1011.2,RIO
2023-10-27,24.9,22.9,29.0,17.2,59.3,157.0,22.3,1009.9,MAM
2023-10-28,25.3,23.1,31.4,7.6,58.7,235.0,10.8,1010.3,BALLE
2023-10-29,26.8,22.0,31.5,11.2,79.5,132.0,13.3,1006.2,JOBO
2023-10-30,26.9,21.6,31.7,22.4,78.1,183.0,20.8,1010.0,BAQ
2023-10-31,25.2,22.9,29.4,0.9,66.8,210.0,15.8,1011.1,CTG
2023-11-01,26.2,22.7,30.9,1.1,81.5,290.0,5.1,1005.4,STM
2023-11-02,24.6,22.8,29.4,15.9,69.8,8.0,22.4,1005.0,SIN
2023-11-03,25.6,21.9,30.4,3.0,77.2,301.0,7.5,1007.1,MTR
2023-11-04,26.6,23.0,30.6,13.7,59.0,64.0,6.9,1004.1,VDP
2023-11-05,26.5,22.3,30.2,28.1,69.8,228.0,12.6,1011.0,RIO
2023-11-06,26.9,22.6,30.4,1.1,71.0,70.0,18.5,1009.1,MAM
2023-11-07,27.0,21.6,30.8,2.6,79.2,340.0,24.3,1005.5,BALLE
2023-11-08,24.3,21.8,30.0,7.3,66.6,90.0,20.7,1010.2,JOBO
2023-11-09,26.7,22.0,31.7,7.3,78.5,89.0,21.0,1010.5,BAQ
2023-11-10,26.0,22.6,31.7,13.3,72.1,34.0,20.7,1007.7,CTG
