fuente,fecha_despacho,dia_semana,remitente,id_unidad,interrumpido,reenrutado,nodo_entrada,ciudad_entrada,franja_horaria,desbalance_entrada,marca_desbalance_entrada,tipo_desbalance_entrada,nodo_salida,ciudad_salida,desbalance_salida,tipo_desbalance_salida,duracion_transito,tipo_tramo,desbalance_operacional,desbalance_clima,desbalance_sistema,desbalance_integridad,desbalance_aguas_arriba
gas_interrupted_1,2023-01-22,1,Gases de la Guajira,CE6984,false,false,JOBO,"Sahagún, COR",Noche,-13,false,,BAQ,"Barranquilla, ATL",32,,268,RAMAL urbano,3,4,1,16,0
gas_interrupted_1,2023-01-23,null,Efigas,CE0736,true,false,JOBO,"Sahagún, COR",Madrugada,29,true,,VDP,"Valledupar, CES",48,,544,troncal norte,9,8,10,16,12
gas_interrupted_1,2023-01-24,3,Surtigas,CE6664,true,false,BALLE,"Manaure, LAG",Madrugada,-11,false,,CTG,"Cartagena, BOL",59,,387,Regional Sabanas,1,3,28,33,1
gas_interrupted_1,2023-01-25,4,Efigas,CE7370,true,false,BALLE,"Manaure, LAG",Madrugada,-13,false,,VDP,"Valledupar, CES",59,,530,troncal norte,23,31,0,8,0
gas_interrupted_1,2023-01-26,5,Gases de la Guajira,CE5653,true,false,BALLE,"Manaure, LAG",Noche,32,true,,MTR,"Montería, COR",45,,125,regional sur,2,0,5,16,10
gas_interrupted_1,2023-01-27,6,Gases del Caribe,CE2763,true,true,BALLE,"Manaure, LAG",Mañana,-13,false,,BAQ,"Barranquilla, ATL",37,,215,Ramal industrial,16,0,0,14,9
gas_interrupted_1,2023-01-28,7,Efigas,CE4858,false,false,BALLE,"Manaure, LAG",Tarde,4,true,,BAQ,"Barranquilla, ATL",67,,596,regional sur,28,4,3,0,10
gas_interrupted_1,2023-01-29,1,Efigas,CE1220,false,true,JOBO,"Sahagún, COR",Madrugada,39,true,,BAQ,"Barranquilla, ATL",32,,645,troncal norte,1,15,5,0,2
gas_interrupted_1,2023-01-30,2,Surtigas,CE6233,true,true,JOBO,"Sahagún, COR",Tarde,10,true,,SIN,"Sincelejo, SUC",30,,372,Ramal industrial,1,0,0,17,21
gas_interrupted_1,2023-01-31,3,Surtigas,CE0520,true,false,JOBO,"Sahagún, COR",Madrugada,-14,false,,SIN,"Sincelejo, SUC",23,,190,regional sur,0,0,7,22,1
gas_interrupted_2,2023-02-01,4,Gasnacer,CE3149,false,false,BALLE,"Manaure, LAG",Mañana,1,true,,CTG,"Cartagena, BOL",51,,482,troncal norte,5,6,12,23,18
gas_interrupted_2,2023-02-02,5,Surtigas,CE9006,false,false,JOBO,"Sahagún, COR",Noche,33,true,,MAM,"Cartagena, BOL",38,,218,Troncal principal,1,12,0,19,0
gas_interrupted_2,2023-02-03,6,Gases de la Guajira,CE2698,true,false,BALLE,"Manaure, LAG",Mañana,12,true,,VDP,"Valledupar, CES",33,,235,Ramal industrial,0,18,3,11,5
gas_interrupted_2,2023-02-04,7,Gases del Caribe,CE3511,false,false,BALLE,"Manaure, LAG",Mañana,56,true,,STM,"Santa Marta, MAG",59,,554,Ramal industrial,26,28,0,1,21
gas_interrupted_2,2023-02-05,1,Gases del Caribe,CE9620,true,true,BALLE,"Manaure, LAG",Tarde,20,true,,VDP,"Valledupar, CES",56,,142,Troncal principal,9,5,15,13,0
gas_interrupted_2,2023-02-06,2,Gasnacer,CE1,false,true,JOBO,"Sahagún, COR",Madrugada,25,true,,STM,"Santa Marta, MAG",29,,615,Ramal industrial,11,4,1,2,11
gas_interrupted_2,2023-02-07,3,Gases del Caribe,CE8254,false,false,JOBO,"Sahagún, COR",Madrugada,1,true,,BAQ,"Barranquilla, ATL",60,,535,Ramal industrial,6,11,18,4,1
gas_interrupted_2,2023-02-08,4,Gases de la Guajira,CE2111,true,false,JOBO,"Sahagún, COR",Noche,49,true,,CTG,"Cartagena, BOL",46,,167,troncal norte,4,13,5,10,0
gas_interrupted_2,2023-02-09,5,Gasnacer,CE4665,true,false,BALLE,"Manaure, LAG",Tarde,27,true,,RIO,"Riohacha, LAG",22,,234,regional sur,0,3,7,5,1
gas_interrupted_2,2023-02-10,6,Gases del Caribe,CE3103,true,false,BALLE,"Manaure, LAG",Noche,17,true,,RIO,"Riohacha, LAG",24,,237,regional sur,5,0,5,15,2
gas_interrupted_2,2023-02-11,7,Gasnacer,CE4186,true,false,JOBO,"Sahagún, COR",Noche,56,true,,STM,"Santa Marta, MAG",19,,643,ductos varios,0,7,5,11,4
gas_interrupted_2,2023-02-12,1,Gases de la Guajira,CE8595,false,false,JOBO,"Sahagún, COR",Tarde,20,true,,BAQ,"Barranquilla, ATL",72,,253,regional sur,22,5,16,22,4
gas_interrupted_2,2023-02-13,2,Gases de la Guajira,CE8012,true,true,BALLE,"Manaure, LAG",Noche,-13,false,,BAQ,"Barranquilla, ATL",83,,204,ductos varios,29,5,3,17,4
gas_interrupted_2,2023-02-14,3,Gasnacer,CE1,true,true,JOBO,"Sahagún, COR",Madrugada,20,true,,RIO,"Riohacha, LAG",39,,256,RAMAL urbano,3,17,13,6,3
gas_interrupted_2,2023-02-15,4,Gases del Caribe,CE5634,false,false,JOBO,"Sahagún, COR",Noche,25,true,,SIN,"Sincelejo, SUC",75,,425,Ramal industrial,16,2,23,11,5
gas_interrupted_2,2023-02-16,5,Gases de la Guajira,CE1,true,true,BALLE,"Manaure, LAG",Madrugada,21,true,,SIN,"Sincelejo, SUC",40,,418,Troncal principal,6,13,7,4,15
gas_interrupted_2,2023-02-17,6,Gases del Caribe,CE5412,false,true,JOBO,"Sahagún, COR",Mañana,-1,false,,SIN,"Sincelejo, SUC",67,,636,Ramal industrial,1,0,0,30,14
gas_interrupted_2,2023-02-18,7,Gases de la Guajira,CE1156,false,false,BALLE,"Manaure, LAG",Tarde,-5,false,,SIN,"Sincelejo, SUC",62,,112,Troncal principal,10,11,5,16,19
gas_interrupted_2,2023-02-19,1,Gases de la Guajira,CE4194,true,false,JOBO,"Sahagún, COR",Noche,46,true,,MAM,"Cartagena, BOL",103,,68,RAMAL urbano,24,1,21,28,10
gas_interrupted_2,2023-02-20,2,,CE6181,true,false,JOBO,"Sahagún, COR",Tarde,9,true,,BAQ,"Barranquilla, ATL",40,,639,ductos varios,19,4,19,2,11
gas_interrupted_2,2023-02-21,3,Surtigas,CE0594,true,false,BALLE,"Manaure, LAG",Noche,47,true,,MAM,"Cartagena, BOL",69,,169,ductos varios,0,2,23,35,0
gas_interrupted_2,2023-02-22,4,Gasnacer,CE7859,true,true,JOBO,"Sahagún, COR",Madrugada,19,true,,MAM,"Cartagena, BOL",36,,586,Ramal industrial,3,27,1,3,1
gas_interrupted_2,2023-02-23,5,Gasnacer,CE1102,true,false,BALLE,"Manaure, LAG",Noche,1,true,,BAQ,"Barranquilla, ATL",63,,219,Regional Sabanas,14,3,10,0,15
gas_interrupted_2,2023-02-24,6,Surtigas,CE3129,true,false,BALLE,"Manaure, LAG",Madrugada,3,true,,RIO,"Riohacha, LAG",22,,387,troncal norte,3,0,11,4,2
gas_interrupted_2,2023-02-25,7,Efigas,CE0229,false,false,BALLE,"Manaure, LAG",Madrugada,7,true,,RIO,"Riohacha, LAG",78,,341,RAMAL urbano,17,11,5,10,22
gas_interrupted_2,2023-02-26,1,Gasnacer,CE8022,false,true,BALLE,"Manaure, LAG",Tarde,2,true,,MTR,"Montería, COR",51,,101,ductos varios,19,0,12,1,13
gas_interrupted_2,2023-02-27,2,Efigas,CE8419,false,false,BALLE,"Manaure, LAG",Madrugada,45,true,,BAQ,"Barranquilla, ATL",78,,347,Troncal principal,12,9,24,17,4
gas_interrupted_2,2023-02-28,3,Surtigas,CE3539,true,false,BALLE,"Manaure, LAG",Madrugada,57,true,,CTG,"Cartagena, BOL",52,,647,RAMAL urbano,14,4,4,0,26
gas_interrupted_3,2023-03-01,4,Efigas,CE0611,true,false,JOBO,"Sahagún, COR",Madrugada,41,true,,RIO,"Riohacha, LAG",90,,439,regional sur,20,13,8,12,8
gas_interrupted_3,2023-03-02,5,Gasnacer,CE3068,true,true,JOBO,"Sahagún, COR",Tarde,10,true,,MTR,"Montería, COR",23,,159,Regional Sabanas,8,1,0,6,8
gas_interrupted_3,2023-03-03,6,Gases de la Guajira,CE2822,true,true,BALLE,"Manaure, LAG",Noche,49,true,,CTG,"Cartagena, BOL",71,,68,Ramal industrial,5,13,18,22,0
gas_interrupted_3,2023-03-04,7,Gases del Caribe,CE7786,true,false,JOBO,"Sahagún, COR",Noche,56,true,,MTR,"Montería, COR",39,,60,RAMAL urbano,31,0,9,2,1
gas_interrupted_3,2023-03-05,1,Surtigas,CE6702,true,false,BALLE,"Manaure, LAG",Madrugada,-14,false,,STM,"Santa Marta, MAG",69,,351,RAMAL urbano,15,9,19,14,6
gas_interrupted_3,2023-03-06,2,Surtigas,CE5879,true,false,BALLE,"Manaure, LAG",Madrugada,1,true,,SIN,"Sincelejo, SUC",56,,592,regional sur,0,0,16,15,16
gas_interrupted_3,2023-03-07,3,Surtigas,CE7266,false,false,JOBO,"Sahagún, COR",Mañana,11,true,,VDP,"Valledupar, CES",26,,568,troncal norte,2,17,4,0,0
gas_interrupted_3,2023-03-08,4,Gases de la Guajira,CE0290,false,false,BALLE,"Manaure, LAG",Mañana,34,true,,STM,"Santa Marta, MAG",43,,277,Regional Sabanas,3,24,13,2,15
gas_interrupted_3,2023-03-09,5,Gases del Caribe,CE7933,false,false,JOBO,"Sahagún, COR",Noche,41,true,,CTG,"Cartagena, BOL",23,,287,Ramal industrial,1,0,6,0,12
gas_interrupted_3,2023-03-10,6,Gases de la Guajira,CE1370,true,false,BALLE,"Manaure, LAG",Tarde,34,true,,VDP,"Valledupar, CES",51,,535,Regional Sabanas,28,9,2,14,15
gas_interrupted_3,2023-03-11,7,Gases de la Guajira,CE4574,true,true,JOBO,"Sahagún, COR",Mañana,35,true,,RIO,"Riohacha, LAG",63,,200,regional sur,0,9,23,11,18
gas_interrupted_3,2023-03-12,1,Gases del Caribe,CE7286,true,false,JOBO,"Sahagún, COR",Noche,28,true,,VDP,"Valledupar, CES",60,,636,RAMAL urbano,2,23,6,7,24
gas_interrupted_3,2023-03-13,2,Gases de la Guajira,CE1,false,false,BALLE,"Manaure, LAG",Noche,26,true,,CTG,"Cartagena, BOL",52,,406,Ramal industrial,14,14,15,0,7
gas_interrupted_3,2023-03-14,3,,CE3313,true,false,BALLE,"Manaure, LAG",Mañana,-11,false,,MTR,"Montería, COR",96,,377,RAMAL urbano,18,33,7,3,4
gas_interrupted_3,2023-03-15,4,Gasnacer,CE0970,true,false,JOBO,"Sahagún, COR",Noche,1,true,,BAQ,"Barranquilla, ATL",34,,239,troncal norte,10,0,6,0,14
gas_interrupted_3,2023-03-16,5,,CE0760,true,true,JOBO,"Sahagún, COR",Mañana,56,true,,RIO,"Riohacha, LAG",40,,395,Ramal industrial,1,8,5,5,22
gas_interrupted_3,2023-03-17,6,Surtigas,CE5435,true,false,BALLE,"Manaure, LAG",Tarde,34,true,,BAQ,"Barranquilla, ATL",53,,652,Troncal principal,10,8,1,0,22
gas_interrupted_3,2023-03-18,7,Gases del Caribe,CE7564,true,false,JOBO,"Sahagún, COR",Madrugada,36,true,,MAM,"Cartagena, BOL",63,,152,Ramal industrial,16,18,6,11,1
gas_interrupted_3,2023-03-19,1,Gases de la Guajira,CE0336,true,false,JOBO,"Sahagún, COR",Madrugada,2,true,,MAM,"Cartagena, BOL",70,,325,troncal norte,6,17,6,15,23
gas_interrupted_3,2023-03-20,2,Gases del Caribe,CE4813,true,false,JOBO,"Sahagún, COR",Madrugada,45,true,,CTG,"Cartagena, BOL",90,,417,RAMAL urbano,0,10,20,18,15
gas_interrupted_3,2023-03-21,3,Surtigas,CE3077,true,false,BALLE,"Manaure, LAG",Tarde,31,true,,RIO,"Riohacha, LAG",69,,641,ductos varios,0,13,15,10,9
gas_interrupted_3,2023-03-22,4,Efigas,CE6525,false,false,JOBO,"Sahagún, COR",Tarde,32,true,,MAM,"Cartagena, BOL",71,,625,troncal norte,10,11,10,23,0
gas_interrupted_3,2023-03-23,5,Surtigas,CE5905,true,false,BALLE,"Manaure, LAG",Tarde,18,true,,SIN,"Sincelejo, SUC",30,,428,Regional Sabanas,6,22,0,3,0
gas_interrupted_3,2023-03-24,6,Gasnacer,CE5053,false,false,BALLE,"Manaure, LAG",Madrugada,43,true,,STM,"Santa Marta, MAG",31,,658,RAMAL urbano,6,9,10,8,7
gas_interrupted_3,2023-03-25,7,Surtigas,CE6421,true,false,JOBO,"Sahagún, COR",Noche,3,true,,RIO,"Riohacha, LAG",21,,625,regional sur,10,11,0,2,0
gas_interrupted_3,2023-03-26,1,Gases del Caribe,CE1906,true,true,JOBO,"Sahagún, COR",Tarde,30,true,,CTG,"Cartagena, BOL",74,,326,RAMAL urbano,0,30,1,10,14
gas_interrupted_3,2023-03-27,2,Gases del Caribe,CE4544,true,false,JOBO,"Sahagún, COR",Mañana,60,true,,SIN,"Sincelejo, SUC",21,,574,Ramal industrial,3,8,0,1,12
gas_interrupted_3,2023-03-28,3,Efigas,CE4536,true,false,JOBO,"Sahagún, COR",Noche,62,true,,MTR,"Montería, COR",50,,549,Ramal industrial,13,6,0,14,4
gas_interrupted_3,2023-03-29,4,Gases del Caribe,CE3339,false,false,BALLE,"Manaure, LAG",Tarde,50,true,,BAQ,"Barranquilla, ATL",40,,320,ductos varios,15,16,1,6,1
gas_interrupted_3,2023-03-30,5,Gases del Caribe,CE2081,true,false,JOBO,"Sahagún, COR",Mañana,15,true,,MAM,"Cartagena, BOL",62,,340,Ramal industrial,0,15,20,3,15
gas_interrupted_3,2023-03-31,6,Gases del Caribe,CE4743,false,false,JOBO,"Sahagún, COR",Noche,58,true,,MTR,"Montería, COR",36,,302,ductos varios,7,0,16,2,1
gas_interrupted_4,2023-04-01,7,Surtigas,CE4691,true,false,JOBO,"Sahagún, COR",Noche,49,true,,RIO,"Riohacha, LAG",126,,541,Troncal principal,21,16,9,16,24
gas_interrupted_4,2023-04-02,1,Surtigas,CE3314,false,false,BALLE,"Manaure, LAG",Mañana,39,true,,BAQ,"Barranquilla, ATL",60,,329,ductos varios,12,11,13,7,33
gas_interrupted_4,2023-04-03,2,Surtigas,CE4890,false,false,JOBO,"Sahagún, COR",Mañana,30,true,,VDP,"Valledupar, CES",32,,289,Ramal industrial,1,15,4,14,11
gas_interrupted_4,2023-04-04,3,Efigas,CE2614,true,false,BALLE,"Manaure, LAG",Mañana,50,true,,SIN,"Sincelejo, SUC",83,,123,Ramal industrial,15,29,0,5,28
gas_interrupted_4,2023-04-05,null,Gases de la Guajira,CE1123,false,true,JOBO,"Sahagún, COR",Mañana,-2,false,,MTR,"Montería, COR",51,,388,Ramal industrial,2,8,0,5,35
gas_interrupted_4,2023-04-06,5,Surtigas,CE4268,true,true,BALLE,"Manaure, LAG",Mañana,20,true,,CTG,"Cartagena, BOL",9,,553,troncal norte,2,3,4,0,2
gas_interrupted_4,2023-04-07,6,Gases del Caribe,CE9275,true,true,BALLE,"Manaure, LAG",Noche,52,true,,STM,"Santa Marta, MAG",117,,393,ductos varios,35,19,16,4,6
gas_interrupted_4,2023-04-08,7,Surtigas,CE5142,false,false,JOBO,"Sahagún, COR",Tarde,48,true,,STM,"Santa Marta, MAG",67,,495,ductos varios,6,32,0,37,4
gas_interrupted_4,2023-04-09,1,Gases del Caribe,CE7582,false,false,JOBO,"Sahagún, COR",Noche,43,true,,STM,"Santa Marta, MAG",60,,206,troncal norte,11,22,29,3,10
gas_interrupted_4,2023-04-10,2,Efigas,CE5658,true,true,BALLE,"Manaure, LAG",Madrugada,-12,false,,MTR,"Montería, COR",55,,142,Ramal industrial,14,0,5,2,19
gas_interrupted_4,2023-04-11,3,Gases del Caribe,CE9480,true,false,JOBO,"Sahagún, COR",Noche,23,true,,MTR,"Montería, COR",98,,536,troncal norte,8,17,14,7,20
gas_interrupted_4,2023-04-12,4,Gases de la Guajira,CE3845,true,false,JOBO,"Sahagún, COR",Madrugada,34,true,,BAQ,"Barranquilla, ATL",67,,603,troncal norte,23,8,0,8,6
gas_interrupted_4,2023-04-13,5,Surtigas,CE8393,true,false,BALLE,"Manaure, LAG",Tarde,8,true,,CTG,"Cartagena, BOL",37,,470,troncal norte,29,14,1,2,5
gas_interrupted_4,2023-04-14,6,Gases del Caribe,CE9783,true,true,BALLE,"Manaure, LAG",Tarde,24,true,,STM,"Santa Marta, MAG",43,,63,regional sur,8,16,6,6,7
gas_interrupted_4,2023-04-15,7,Efigas,CE9523,true,false,BALLE,"Manaure, LAG",Tarde,2,true,,BAQ,"Barranquilla, ATL",37,,151,Ramal industrial,4,0,5,1,23
gas_interrupted_4,2023-04-16,1,Gases del Caribe,CE9109,true,false,JOBO,"Sahagún, COR",Tarde,24,true,,STM,"Santa Marta, MAG",32,,534,Ramal industrial,0,3,9,4,9
gas_interrupted_4,2023-04-17,2,Gases del Caribe,CE1436,true,false,BALLE,"Manaure, LAG",Tarde,-11,false,,VDP,"Valledupar, CES",39,,325,ductos varios,10,8,30,1,4
gas_interrupted_4,2023-04-18,3,Gases del Caribe,CE7080,true,false,BALLE,"Manaure, LAG",Noche,21,true,,CTG,"Cartagena, BOL",99,,247,Ramal industrial,31,30,11,0,6
gas_interrupted_4,2023-04-19,4,Gases del Caribe,CE4556,true,false,JOBO,"Sahagún, COR",Tarde,-9,false,,BAQ,"Barranquilla, ATL",34,,537,regional sur,6,6,5,11,0
gas_interrupted_4,2023-04-20,5,Gases del Caribe,CE2328,false,false,BALLE,"Manaure, LAG",Noche,4,true,,BAQ,"Barranquilla, ATL",59,,338,RAMAL urbano,13,0,10,14,32
gas_interrupted_4,2023-04-21,6,Surtigas,CE9947,true,false,JOBO,"Sahagún, COR",Madrugada,5,true,,MTR,"Montería, COR",49,,431,RAMAL urbano,1,23,14,2,0
gas_interrupted_4,2023-04-22,7,Efigas,CE3444,false,true,BALLE,"Manaure, LAG",Tarde,32,true,,MTR,"Montería, COR",129,,384,ductos varios,6,2,30,25,27
gas_interrupted_4,2023-04-23,1,Gasnacer,CE6102,false,false,JOBO,"Sahagún, COR",Noche,50,true,,CTG,"Cartagena, BOL",30,,120,regional sur,9,6,7,1,8
gas_interrupted_4,2023-04-24,2,Gasnacer,CE3559,true,false,BALLE,"Manaure, LAG",Noche,5,true,,CTG,"Cartagena, BOL",46,,461,ductos varios,9,22,12,11,0
gas_interrupted_4,2023-04-25,3,Gases de la Guajira,CE2089,true,false,BALLE,"Manaure, LAG",Tarde,23,true,,MTR,"Montería, COR",59,,419,Troncal principal,19,4,16,6,1
gas_interrupted_4,2023-04-26,4,Efigas,CE7513,true,false,JOBO,"Sahagún, COR",Tarde,5,true,,SIN,"Sincelejo, SUC",44,,369,Ramal industrial,29,4,2,3,11
gas_interrupted_4,2023-04-27,5,Gasnacer,CE7542,false,false,BALLE,"Manaure, LAG",Madrugada,36,true,,RIO,"Riohacha, LAG",72,,325,ductos varios,17,11,6,2,30
gas_interrupted_4,2023-04-28,6,Efigas,CE5918,true,false,BALLE,"Manaure, LAG",Madrugada,8,true,,STM,"Santa Marta, MAG",51,,142,Troncal principal,16,11,2,4,2
gas_interrupted_4,2023-04-29,7,Gases de la Guajira,CE1452,false,false,JOBO,"Sahagún, COR",Mañana,52,true,,VDP,"Valledupar, CES",29,,493,troncal norte,0,4,13,2,1
gas_interrupted_4,2023-04-30,1,Efigas,CE3196,true,false,BALLE,"Manaure, LAG",Noche,36,true,,CTG,"Cartagena, BOL",41,,615,Regional Sabanas,3,6,1,28,2
gas_interrupted_5,2023-05-01,2,Surtigas,CE2100,true,true,BALLE,"Manaure, LAG",Tarde,42,true,,SIN,"Sincelejo, SUC",113,,210,ductos varios,15,35,8,1,18
gas_interrupted_5,2023-05-02,3,Surtigas,CE2384,true,false,BALLE,"Manaure, LAG",Madrugada,38,true,,CTG,"Cartagena, BOL",18,,250,Troncal principal,2,7,4,1,0
gas_interrupted_5,2023-05-03,4,Gasnacer,CE4203,false,true,BALLE,"Manaure, LAG",Madrugada,-15,false,,BAQ,"Barranquilla, ATL",49,,277,troncal norte,10,19,1,3,4
gas_interrupted_5,2023-05-04,5,Efigas,CE2838,true,true,BALLE,"Manaure, LAG",Mañana,37,true,,CTG,"Cartagena, BOL",28,,514,Troncal principal,5,1,1,9,9
gas_interrupted_5,2023-05-05,6,Gases de la Guajira,CE1853,true,false,BALLE,"Manaure, LAG",Tarde,-11,false,,SIN,"Sincelejo, SUC",86,,552,Troncal principal,10,10,0,21,20
gas_interrupted_5,2023-05-06,7,Gases de la Guajira,CE1136,true,true,JOBO,"Sahagún, COR",Noche,-7,false,,MAM,"Cartagena, BOL",43,,158,RAMAL urbano,4,2,4,26,10
gas_interrupted_5,2023-05-07,1,Gasnacer,CE8426,true,false,JOBO,"Sahagún, COR",Madrugada,52,true,,CTG,"Cartagena, BOL",60,,173,troncal norte,26,24,16,0,6
gas_interrupted_5,2023-05-08,2,Gasnacer,CE7085,true,true,BALLE,"Manaure, LAG",Madrugada,13,true,,STM,"Santa Marta, MAG",50,,210,troncal norte,14,29,3,10,8
gas_interrupted_5,2023-05-09,3,Gases del Caribe,CE9871,false,false,JOBO,"Sahagún, COR",Tarde,39,true,,MTR,"Montería, COR",76,,355,ductos varios,4,30,13,5,13
gas_interrupted_5,2023-05-10,4,Gases de la Guajira,CE5987,false,false,BALLE,"Manaure, LAG",Madrugada,36,true,,MAM,"Cartagena, BOL",55,,530,RAMAL urbano,5,0,20,10,16
gas_interrupted_5,2023-05-11,5,Gases del Caribe,CE6404,true,true,JOBO,"Sahagún, COR",Noche,20,true,,SIN,"Sincelejo, SUC",74,,549,Ramal industrial,27,18,16,5,2
gas_interrupted_5,2023-05-12,6,Gasnacer,CE1,true,false,BALLE,"Manaure, LAG",Mañana,7,true,,MTR,"Montería, COR",35,,450,ductos varios,8,7,3,1,5
gas_interrupted_5,2023-05-13,7,Gases de la Guajira,CE7569,false,true,BALLE,"Manaure, LAG",Madrugada,26,true,,BAQ,"Barranquilla, ATL",41,,643,Regional Sabanas,9,3,5,13,12
gas_interrupted_5,2023-05-14,1,Efigas,CE4498,true,true,BALLE,"Manaure, LAG",Tarde,63,true,,MTR,"Montería, COR",40,,64,regional sur,1,11,20,0,0
gas_interrupted_5,2023-05-15,2,Efigas,CE7895,true,true,BALLE,"Manaure, LAG",Mañana,47,true,,RIO,"Riohacha, LAG",49,,520,RAMAL urbano,33,1,1,0,0
gas_interrupted_5,2023-05-16,3,Efigas,CE1509,true,false,BALLE,"Manaure, LAG",Noche,15,true,,SIN,"Sincelejo, SUC",40,,123,Troncal principal,2,10,6,7,14
gas_interrupted_5,2023-05-17,4,Gases de la Guajira,CE8009,false,false,JOBO,"Sahagún, COR",Noche,45,true,,SIN,"Sincelejo, SUC",53,,588,Troncal principal,4,18,0,0,18
gas_interrupted_5,2023-05-18,5,Surtigas,CE0687,true,true,JOBO,"Sahagún, COR",Madrugada,40,true,,MTR,"Montería, COR",35,,130,troncal norte,10,7,20,1,4
gas_interrupted_5,2023-05-19,6,Gases del Caribe,CE2159,true,true,JOBO,"Sahagún, COR",Mañana,-8,false,,SIN,"Sincelejo, SUC",68,,118,Regional Sabanas,1,8,29,8,12
