fuente,fecha_despacho,dia_semana,remitente,id_unidad,nodo_entrada,ciudad_entrada,franja_horaria,desbalance_entrada,marca_desbalance_entrada,tipo_desbalance_entrada,nodo_salida,ciudad_salida,desbalance_salida,tipo_desbalance_salida,duracion_transito,tipo_tramo,desbalance_operacional,desbalance_clima,desbalance_sistema,desbalance_integridad,desbalance_aguas_arriba,fabricante,modelo,antiguedad_unidd
gas_flows_2,2023-02-12,1,Gasnacer,CE2020,JOBO,"Sahagún, COR",Madrugada,9,true,,RIO,"Riohacha, LAG",52,,305,Ramal industrial,31,10,10,4,1,GE Oil & Gas,Taurus 60,8
gas_flows_2,2023-02-13,2,Gases de la Guajira,CE5184,BALLE,"Manaure, LAG",Tarde,18,true,,BAQ,"Barranquilla, ATL",68,,487,Regional Sabanas,6,5,0,9,31,Solar Turbines,Centaur 40,9
gas_flows_2,2023-02-14,3,Efigas,CE8259,BALLE,"Manaure, LAG",Mañana,0,false,,CTG,"Cartagena, BOL",37,,140,RAMAL urbano,8,1,7,8,6,Caterpillar,Taurus 60,6
gas_flows_2,2023-02-15,4,Surtigas,CE7884,JOBO,"Sahagún, COR",Noche,50,true,,RIO,"Riohacha, LAG",67,,472,troncal norte,14,13,33,1,12,Solar Turbines,Mars 100,1
gas_flows_2,2023-02-16,5,Gases de la Guajira,CE3632,BALLE,"Manaure, LAG",Noche,-15,false,,MAM,"Cartagena, BOL",42,,338,Ramal industrial,12,1,15,0,17,GE Oil & Gas,C15,3
gas_flows_2,2023-02-17,6,Gases del Caribe,CE0258,BALLE,"Manaure, LAG",Tarde,52,true,,RIO,"Riohacha, LAG",57,,276,Ramal industrial,0,19,3,15,7,Siemens,Mars 100,26
gas_flows_2,2023-02-18,7,Gasnacer,CE1546,BALLE,"Manaure, LAG",Madrugada,10,true,,BAQ,"Barranquilla, ATL",68,,385,ductos varios,5,26,0,25,5,Caterpillar,Centaur 40,24
gas_flows_2,2023-02-19,1,Gasnacer,CE1723,JOBO,"Sahagún, COR",Noche,39,true,,BAQ,"Barranquilla, ATL",30,,429,RAMAL urbano,9,0,4,2,17,Caterpillar,Mars 100,14
gas_flows_2,2023-02-20,2,Gases de la Guajira,CE2128,BALLE,"Manaure, LAG",Mañana,64,true,,RIO,"Riohacha, LAG",42,,431,RAMAL urbano,2,4,14,10,18,Caterpillar,Mars 100,15
gas_flows_2,2023-02-21,3,Efigas,CE1902,JOBO,"Sahagún, COR",Mañana,46,true,,SIN,"Sincelejo, SUC",58,,79,Troncal principal,5,5,25,4,6,Caterpillar,Taurus 60,8
gas_flows_2,2023-02-22,4,Gases del Caribe,CE0508,JOBO,"Sahagún, COR",Tarde,-8,false,,CTG,"Cartagena, BOL",105,,441,Ramal industrial,36,14,4,13,21,GE Oil & Gas,Mars 100,15
gas_flows_2,2023-02-23,5,Gases de la Guajira,CE2189,BALLE,"Manaure, LAG",Madrugada,31,true,,VDP,"Valledupar, CES",36,,501,ductos varios,11,3,16,0,6,Siemens,Mars 100,5
gas_flows_2,2023-02-24,6,Gases del Caribe,CE5640,BALLE,"Manaure, LAG",Tarde,-8,false,,RIO,"Riohacha, LAG",88,,473,Regional Sabanas,9,0,32,10,12,Solar Turbines,Taurus 60,17
gas_flows_2,2023-02-25,7,Efigas,CE4836,BALLE,"Manaure, LAG",Mañana,31,true,,VDP,"Valledupar, CES",72,,62,troncal norte,6,30,1,6,8,Caterpillar,Mars 100,5
gas_flows_2,2023-02-26,1,Gases de la Guajira,CE5823,BALLE,"Manaure, LAG",Mañana,-5,false,,BAQ,"Barranquilla, ATL",41,,559,RAMAL urbano,20,0,18,18,2,Caterpillar,Mars 100,15
gas_flows_2,2023-02-27,2,Gases del Caribe,CE7516,BALLE,"Manaure, LAG",Mañana,26,true,,BAQ,"Barranquilla, ATL",41,,291,Ramal industrial,2,8,27,12,9,Caterpillar,Mars 100,0
gas_flows_2,2023-02-28,3,Gasnacer,CE0332,JOBO,"Sahagún, COR",Mañana,-14,false,,MTR,"Montería, COR",50,,362,Troncal principal,1,5,8,4,23,Siemens,C15,19
gas_flows_3,2023-03-01,4,Efigas,CE6190,BALLE,"Manaure, LAG",Noche,15,true,,MTR,"Montería, COR",55,,591,regional sur,20,3,0,8,13,Siemens,Taurus 60,0
gas_flows_3,2023-03-02,5,Gases del Caribe,CE6982,JOBO,"Sahagún, COR",Mañana,-12,false,,SIN,"Sincelejo, SUC",41,,201,troncal norte,6,0,7,19,7,Caterpillar,Centaur 40,6
gas_flows_3,2023-03-03,6,Gases del Caribe,CE4344,BALLE,"Manaure, LAG",Madrugada,35,true,,MTR,"Montería, COR",60,,411,ductos varios,0,10,18,4,21,GE Oil & Gas,Taurus 60,21
gas_flows_3,2023-03-04,7,Gasnacer,CE1822,JOBO,"Sahagún, COR",Mañana,11,true,,RIO,"Riohacha, LAG",64,,598,troncal norte,3,6,18,11,13,Siemens,C15,7
gas_flows_3,2023-03-05,1,Gases de la Guajira,CE3888,JOBO,"Sahagún, COR",Tarde,18,true,,STM,"Santa Marta, MAG",82,,457,RAMAL urbano,28,6,13,28,6,Solar Turbines,C15,12
gas_flows_3,2023-03-06,2,Gasnacer,CE2581,JOBO,"Sahagún, COR",Mañana,7,true,,BAQ,"Barranquilla, ATL",76,,303,troncal norte,1,11,26,18,4,Siemens,Mars 100,6
gas_flows_3,2023-03-07,3,Surtigas,CE6218,JOBO,"Sahagún, COR",Noche,34,true,,MAM,"Cartagena, BOL",41,,237,ductos varios,8,2,19,8,6,Caterpillar,Centaur 40,12
gas_flows_3,2023-03-08,4,Gasnacer,CE7869,BALLE,"Manaure, LAG",Noche,45,true,,MAM,"Cartagena, BOL",95,,267,regional sur,11,18,5,19,21,Caterpillar,Centaur 40,27
gas_flows_3,2023-03-09,5,Gases del Caribe,CE3395,JOBO,"Sahagún, COR",Mañana,-15,false,,RIO,"Riohacha, LAG",34,,408,RAMAL urbano,1,8,4,1,12,Solar Turbines,Taurus 60,9
gas_flows_3,2023-03-10,6,Gases de la Guajira,CE0884,BALLE,"Manaure, LAG",Tarde,-9,false,,VDP,"Valledupar, CES",16,,182,Troncal principal,8,4,1,2,7,Siemens,Mars 100,20
gas_flows_3,2023-03-11,7,Efigas,CE7506,JOBO,"Sahagún, COR",Noche,19,true,,RIO,"Riohacha, LAG",42,,370,Regional Sabanas,18,18,10,1,10,Caterpillar,Centaur 40,14
gas_flows_3,2023-03-12,1,Gasnacer,CE4791,BALLE,"Manaure, LAG",Noche,30,true,,BAQ,"Barranquilla, ATL",43,,419,Troncal principal,0,3,24,5,1,Solar Turbines,C15,9
gas_flows_3,2023-03-13,2,Gases del Caribe,CE7856,JOBO,"Sahagún, COR",Tarde,62,true,,BAQ,"Barranquilla, ATL",25,,176,regional sur,15,1,1,1,4,Solar Turbines,Mars 100,13
gas_flows_3,2023-03-14,3,Efigas,CE2439,JOBO,"Sahagún, COR",Tarde,5,true,,MAM,"Cartagena, BOL",39,,229,Regional Sabanas,5,20,6,5,0,GE Oil & Gas,Mars 100,13
gas_flows_3,2023-03-15,4,Gases de la Guajira,CE7182,BALLE,"Manaure, LAG",Mañana,56,true,,SIN,"Sincelejo, SUC",54,,550,regional sur,13,8,25,2,12,GE Oil & Gas,Centaur 40,14
gas_flows_3,2023-03-16,5,Efigas,CE3236,JOBO,"Sahagún, COR",Tarde,32,true,,MAM,"Cartagena, BOL",24,,525,troncal norte,11,10,9,2,1,Solar Turbines,C15,4
gas_flows_3,2023-03-17,6,Surtigas,CE8236,JOBO,"Sahagún, COR",Mañana,-7,false,,STM,"Santa Marta, MAG",31,,498,Ramal industrial,6,10,11,2,5,Caterpillar,Mars 100,8
gas_flows_3,2023-03-18,7,Gasnacer,CE1758,JOBO,"Sahagún, COR",Noche,36,true,,RIO,"Riohacha, LAG",38,,431,Troncal principal,13,15,4,3,3,Solar Turbines,Mars 100,22
gas_flows_3,2023-03-19,1,Gases del Caribe,CE2529,BALLE,"Manaure, LAG",Tarde,-9,false,,BAQ,"Barranquilla, ATL",68,,201,troncal norte,36,33,5,4,7,Caterpillar,Taurus 60,2
gas_flows_3,2023-03-20,2,Efigas,CE6217,JOBO,"Sahagún, COR",Tarde,5,true,,VDP,"Valledupar, CES",82,,128,Troncal principal,4,28,12,6,19,GE Oil & Gas,Mars 100,22
gas_flows_3,2023-03-21,3,Efigas,CE6043,JOBO,"Sahagún, COR",Mañana,43,true,,BAQ,"Barranquilla, ATL",23,,116,regional sur,0,8,2,8,11,GE Oil & Gas,Taurus 60,11
gas_flows_3,2023-03-22,4,Gases del Caribe,CE4685,JOBO,"Sahagún, COR",Noche,-2,false,,STM,"Santa Marta, MAG",96,,637,Regional Sabanas,7,7,19,4,32,Solar Turbines,C15,0
gas_flows_3,2023-03-23,5,Gases de la Guajira,CE1803,BALLE,"Manaure, LAG",Noche,53,true,,MTR,"Montería, COR",66,,561,Ramal industrial,31,1,22,7,15,Siemens,Taurus 60,25
gas_flows_3,2023-03-24,6,Surtigas,CE6074,BALLE,"Manaure, LAG",Mañana,19,true,,MAM,"Cartagena, BOL",68,,606,RAMAL urbano,13,11,30,3,11,Caterpillar,C15,22
gas_flows_3,2023-03-25,7,Efigas,CE5866,BALLE,"Manaure, LAG",Tarde,63,true,,SIN,"Sincelejo, SUC",37,,521,RAMAL urbano,22,4,7,1,0,Siemens,C15,7
gas_flows_3,2023-03-26,1,Gases de la Guajira,CE2025,BALLE,"Manaure, LAG",Noche,55,true,,MTR,"Montería, COR",116,,586,Regional Sabanas,2,32,8,8,28,GE Oil & Gas,Centaur 40,15
gas_flows_3,2023-03-27,2,Efigas,CE6644,,"Manaure, LAG",Noche,50,true,,MAM,"Cartagena, BOL",40,,136,Troncal principal,0,20,7,4,7,Caterpillar,Centaur 40,13
gas_flows_3,2023-03-28,3,Gases del Caribe,CE0039,JOBO,"Sahagún, COR",Mañana,12,true,,CTG,"Cartagena, BOL",50,,209,Regional Sabanas,8,1,19,16,0,Caterpillar,Centaur 40,8
gas_flows_3,2023-03-29,4,Efigas,CE3400,BALLE,"Manaure, LAG",Mañana,36,true,,STM,"Santa Marta, MAG",38,,414,Troncal principal,0,10,5,19,5,Solar Turbines,Centaur 40,5
gas_flows_3,2023-03-30,5,Gasnacer,CE3176,BALLE,"Manaure, LAG",Noche,31,true,,VDP,"Valledupar, CES",77,,600,regional sur,19,8,0,29,3,Caterpillar,C15,18
gas_flows_3,2023-03-31,6,Gases de la Guajira,CE5308,BALLE,"Manaure, LAG",Noche,45,true,,SIN,"Sincelejo, SUC",105,,412,troncal norte,15,6,2,23,29,Siemens,Centaur 40,14
gas_flows_4,2023-04-01,7,Efigas,CE0188,JOBO,"Sahagún, COR",Madrugada,-8,false,,STM,"Santa Marta, MAG",54,,604,RAMAL urbano,10,3,2,2,27,Siemens,Taurus 60,15
gas_flows_4,2023-04-02,1,Surtigas,CE9542,JOBO,"Sahagún, COR",Madrugada,-1,false,,SIN,"Sincelejo, SUC",71,,240,regional sur,8,15,21,14,6,GE Oil & Gas,C15,18
gas_flows_4,2023-04-03,2,,CE2554,JOBO,"Sahagún, COR",Tarde,-13,false,,VDP,"Valledupar, CES",69,,450,RAMAL urbano,5,16,1,17,15,Siemens,Taurus 60,25
gas_flows_4,2023-04-04,3,Gasnacer,CE5764,BALLE,"Manaure, LAG",Tarde,-2,false,,CTG,"Cartagena, BOL",91,,446,Troncal principal,28,5,30,0,22,Caterpillar,C15,13
gas_flows_4,2023-04-05,4,Surtigas,CE4177,BALLE,"Manaure, LAG",Noche,8,true,,STM,"Santa Marta, MAG",81,,652,Ramal industrial,15,8,12,7,23,Solar Turbines,C15,24
gas_flows_4,2023-04-06,5,Efigas,CE4470,BALLE,"Manaure, LAG",Mañana,55,true,,RIO,"Riohacha, LAG",37,,391,ductos varios,6,2,17,7,0,Solar Turbines,C15,24
gas_flows_4,2023-04-07,6,Gases del Caribe,CE8503,BALLE,"Manaure, LAG",Mañana,56,true,,SIN,"Sincelejo, SUC",49,,374,troncal norte,3,7,0,22,8,Caterpillar,Centaur 40,20
gas_flows_4,2023-04-08,7,Efigas,CE8369,JOBO,"Sahagún, COR",Mañana,4,true,,STM,"Santa Marta, MAG",55,,73,Troncal principal,16,17,3,14,0,Solar Turbines,Centaur 40,17
gas_flows_4,2023-04-09,1,Gases de la Guajira,CE1639,JOBO,"Sahagún, COR",Madrugada,44,true,,MTR,"Montería, COR",30,,542,ductos varios,3,0,7,2,19,Siemens,Taurus 60,24
gas_flows_4,2023-04-10,2,Gasnacer,CE1544,JOBO,"Sahagún, COR",Noche,27,true,,MTR,"Montería, COR",88,,379,RAMAL urbano,2,23,17,22,7,Siemens,Mars 100,8
gas_flows_4,2023-04-11,3,Efigas,CE6397,JOBO,"Sahagún, COR",Tarde,35,true,,MTR,"Montería, COR",67,,458,Troncal principal,5,5,6,18,13,Siemens,Centaur 40,20
gas_flows_4,2023-04-12,4,Gases de la Guajira,CE6994,JOBO,"Sahagún, COR",Noche,42,true,,STM,"Santa Marta, MAG",53,,113,troncal norte,33,5,16,8,1,Solar Turbines,Taurus 60,22
gas_flows_4,2023-04-13,5,Gases de la Guajira,CE8040,JOBO,"Sahagún, COR",Madrugada,40,true,,CTG,"Cartagena, BOL",47,,94,troncal norte,6,2,6,4,36,Siemens,C15,21
gas_flows_4,2023-04-14,6,Efigas,CE1861,BALLE,"Manaure, LAG",Noche,46,true,,SIN,"Sincelejo, SUC",38,,82,Troncal principal,6,2,0,20,0,Solar Turbines,Mars 100,8
gas_flows_4,2023-04-15,7,Gases del Caribe,CE7858,JOBO,"Sahagún, COR",Noche,-1,false,,STM,"Santa Marta, MAG",90,,455,regional sur,0,32,23,2,35,Solar Turbines,Mars 100,5
gas_flows_4,2023-04-16,1,Gases del Caribe,CE2436,BALLE,"Manaure, LAG",Madrugada,26,true,,CTG,"Cartagena, BOL",161,,273,Ramal industrial,27,34,25,25,16,GE Oil & Gas,C15,3
gas_flows_4,2023-04-17,2,Gases del Caribe,CE9617,JOBO,"Sahagún, COR",Noche,32,true,,VDP,"Valledupar, CES",79,,603,ductos varios,12,0,12,2,27,Solar Turbines,Centaur 40,22
gas_flows_4,2023-04-18,3,Efigas,CE3432,BALLE,"Manaure, LAG",Noche,-14,false,,BAQ,"Barranquilla, ATL",50,,272,Troncal principal,0,1,13,26,28,Caterpillar,Taurus 60,3
gas_flows_4,2023-04-19,4,Surtigas,CE0976,BALLE,"Manaure, LAG",Mañana,33,true,,SIN,"Sincelejo, SUC",67,,269,troncal norte,10,9,26,16,9,Caterpillar,Taurus 60,21
gas_flows_4,2023-04-20,5,Gasnacer,CE2801,JOBO,"Sahagún, COR",Madrugada,-11,false,,VDP,"Valledupar, CES",35,,143,ductos varios,2,5,5,11,9,Siemens,Taurus 60,3
gas_flows_4,2023-04-21,6,Surtigas,CE2343,BALLE,"Manaure, LAG",Tarde,30,true,,VDP,"Valledupar, CES",52,,520,Ramal industrial,4,3,28,3,0,Caterpillar,Centaur 40,16
gas_flows_4,2023-04-22,7,Gases de la Guajira,CE7400,JOBO,"Sahagún, COR",Noche,63,true,,RIO,"Riohacha, LAG",68,,407,ductos varios,2,26,19,17,13,GE Oil & Gas,Mars 100,12
gas_flows_4,2023-04-23,1,Gases de la Guajira,CE1,JOBO,"Sahagún, COR",Noche,-13,false,,VDP,"Valledupar, CES",20,,156,troncal norte,10,0,7,0,8,Solar Turbines,Mars 100,27
gas_flows_4,2023-04-24,2,Surtigas,CE3397,,"Sahagún, COR",Noche,3,true,,BAQ,"Barranquilla, ATL",46,,64,Troncal principal,13,1,4,7,20,Caterpillar,C15,29
gas_flows_4,2023-04-25,3,Gases de la Guajira,CE8810,BALLE,"Manaure, LAG",Noche,37,true,,MTR,"Montería, COR",26,,445,ductos varios,1,0,14,12,4,Solar Turbines,C15,6
gas_flows_4,2023-04-26,4,Gases del Caribe,CE6538,JOBO,"Sahagún, COR",Madrugada,64,true,,STM,"Santa Marta, MAG",6,,408,troncal norte,0,0,7,0,0,Siemens,Taurus 60,17
gas_flows_4,2023-04-27,5,Efigas,CE6567,JOBO,"Sahagún, COR",Madrugada,1,true,,BAQ,"Barranquilla, ATL",29,,596,Troncal principal,2,16,6,0,1,Caterpillar,Mars 100,23
gas_flows_4,2023-04-28,6,Gasnacer,CE4680,JOBO,"Sahagún, COR",Mañana,32,true,,VDP,"Valledupar, CES",48,,576,RAMAL urbano,7,34,4,0,19,Caterpillar,Taurus 60,26
gas_flows_4,2023-04-29,7,Gases de la Guajira,CE0246,JOBO,"Sahagún, COR",Noche,34,true,,CTG,"Cartagena, BOL",43,,237,Troncal principal,2,7,13,3,11,Solar Turbines,C15,25
gas_flows_4,2023-04-30,1,Efigas,CE2604,BALLE,"Manaure, LAG",Mañana,58,true,,SIN,"Sincelejo, SUC",57,,101,ductos varios,5,0,19,22,21,Solar Turbines,Mars 100,8
gas_flows_5,2023-05-01,2,Gases del Caribe,CE4616,JOBO,"Sahagún, COR",Madrugada,61,true,,MAM,"Cartagena, BOL",72,,240,Regional Sabanas,11,0,1,24,20,Siemens,C15,14
gas_flows_5,2023-05-02,3,Surtigas,CE8585,BALLE,"Manaure, LAG",Madrugada,26,true,,MAM,"Cartagena, BOL",15,,546,ductos varios,1,9,4,0,3,Caterpillar,Taurus 60,21
gas_flows_5,2023-05-03,4,Gasnacer,CE5950,JOBO,"Sahagún, COR",Madrugada,48,true,,RIO,"Riohacha, LAG",27,,524,Troncal principal,3,1,24,7,3,Caterpillar,Centaur 40,9
gas_flows_5,2023-05-04,5,Surtigas,CE1738,BALLE,"Manaure, LAG",Noche,29,true,,CTG,"Cartagena, BOL",63,,110,regional sur,11,1,19,9,2,Caterpillar,Centaur 40,4
gas_flows_5,2023-05-05,6,Surtigas,CE5535,JOBO,"Sahagún, COR",Noche,48,true,,CTG,"Cartagena, BOL",36,,120,Regional Sabanas,11,0,17,4,6,GE Oil & Gas,Centaur 40,28
gas_flows_5,2023-05-06,7,Gases de la Guajira,CE7091,JOBO,"Sahagún, COR",Tarde,-2,false,,MTR,"Montería, COR",44,,413,Ramal industrial,9,0,8,1,26,GE Oil & Gas,Centaur 40,29
gas_flows_5,2023-05-07,1,Gases del Caribe,CE8658,JOBO,"Sahagún, COR",Madrugada,46,true,,SIN,"Sincelejo, SUC",37,,230,Ramal industrial,2,9,9,10,15,Solar Turbines,Taurus 60,28
